319	GRMZM5G874277	11
320	GRMZM2G023220	74
321	GRMZM2G099909	14
322	GRMZM2G143862	1
323	GRMZM5G829103	119
324	GRMZM2G301122	72
325	GRMZM2G178576	3
326	GRMZM2G009638	6
327	GRMZM2G066672	233
328	GRMZM2G078174	3
329	GRMZM2G178346	140
330	GRMZM2G088060	33
331	GRMZM2G018462	3
332	GRMZM2G094500	2
333	GRMZM2G041310	126
334	GRMZM2G087598	84
335	GRMZM2G111720	87
336	GRMZM2G410134	1
337	GRMZM2G063754	3
338	GRMZM2G017856	7
339	GRMZM2G019958	95
340	GRMZM2G009894	6
341	GRMZM2G053397	145
342	GRMZM2G137151	1
343	GRMZM2G027007	1
344	GRMZM2G153675	29
345	GRMZM5G858094	7
346	GRMZM2G170049	3
347	GRMZM2G164277	1
348	GRMZM2G064896	54
349	GRMZM2G049568	1
350	GRMZM2G115574	9
351	GRMZM2G073861	9
352	GRMZM2G044023	1
353	GRMZM2G003752	1
354	GRMZM2G066191	4
355	GRMZM2G180870	269
356	GRMZM2G138587	5
357	GRMZM2G033626	4
358	GRMZM2G149800	1
359	GRMZM2G005849	213
360	GRMZM5G869299	2
361	GRMZM2G050939	1
362	GRMZM2G044581	3
363	GRMZM2G003028	111
364	GRMZM2G119169	10
365	GRMZM2G151651	91
366	GRMZM2G057475	5
367	GRMZM2G057486	44
368	GRMZM2G006704	4
369	GRMZM2G074472	1
370	GRMZM2G023988	1
371	GRMZM2G346455	10
372	GRMZM2G131733	18
373	GRMZM2G181542	2
374	GRMZM5G868433	7
375	GRMZM2G064159	1
376	GRMZM2G074320	14
377	GRMZM5G832300	86
378	GRMZM2G048324	5
379	GRMZM2G123920	322
380	GRMZM2G148744	24
381	GRMZM2G037865	130
382	GRMZM2G008327	51
383	GRMZM2G130095	1
384	GRMZM2G045883	1
385	GRMZM2G050467	7
386	GRMZM2G461159	53
387	GRMZM2G130442	100
388	GRMZM2G168163	26
389	GRMZM2G568478	5
390	GRMZM2G085747	344
391	GRMZM2G009265	14
392	GRMZM2G341934	2
393	GRMZM2G061447	1
394	GRMZM2G101036	198
395	GRMZM2G420684	1
396	GRMZM2G091481	38
397	GRMZM2G134770	2
398	GRMZM2G125867	96
399	GRMZM5G832582	3
400	GRMZM2G180979	3
401	GRMZM2G156630	357
402	GRMZM2G162697	21
403	GRMZM2G062577	31
404	GRMZM2G099657	79
405	GRMZM2G346895	10
406	GRMZM2G107609	1
407	GRMZM2G003417	2
408	GRMZM2G051004	10
409	GRMZM2G470442	102
410	GRMZM2G006526	2
411	GRMZM2G005103	52
412	GRMZM2G113129	103
413	GRMZM5G846196	15
414	AC211737.3_FG012	7
415	GRMZM2G104255	1
416	AC217300.3_FG004	1
417	GRMZM2G330690	38
418	GRMZM2G036019	2
419	GRMZM2G130790	1
420	GRMZM2G053434	3
421	GRMZM5G801409	3
422	GRMZM2G428765	1
423	GRMZM2G053396	1
424	GRMZM2G053338	1
425	GRMZM2G359018	8
426	GRMZM2G119133	66
427	GRMZM2G037164	34
428	GRMZM2G155931	26
429	GRMZM2G100058	1
430	GRMZM2G300801	12
431	GRMZM2G105523	35
432	GRMZM2G301246	3
433	GRMZM2G092975	2
434	GRMZM2G126956	82
435	GRMZM2G126552	3
436	GRMZM2G037694	5
437	GRMZM2G036206	2
438	GRMZM5G899300	258
439	GRMZM2G436981	397
440	GRMZM5G849149	12
441	GRMZM2G003638	1
442	AC216353.2_FG005	8
443	GRMZM2G144610	30
444	GRMZM2G177970	73
445	GRMZM2G451965	7
446	GRMZM2G086403	17
447	GRMZM2G043783	14
448	GRMZM2G169320	6
449	GRMZM2G151549	3
450	GRMZM2G060327	2
451	GRMZM2G047919	9
452	GRMZM2G092595	20
453	GRMZM2G110714	1
454	GRMZM2G107003	2
455	GRMZM2G095931	1
456	GRMZM2G000923	11
457	GRMZM2G026231	3
458	GRMZM2G073950	6
459	GRMZM2G132628	3
460	GRMZM2G094526	1
461	GRMZM2G024099	186
462	GRMZM2G146280	2
463	GRMZM2G097775	12
464	GRMZM2G033029	86
465	GRMZM2G422649	160
466	GRMZM2G061428	374
467	GRMZM2G089222	1
468	GRMZM2G366146	122
469	GRMZM2G055578	1
470	GRMZM2G152056	1
471	GRMZM2G159538	3
472	GRMZM2G006450	1
473	GRMZM2G700014	6
474	GRMZM2G066650	3
475	GRMZM2G120575	55
476	GRMZM2G122999	6
477	GRMZM2G173387	216
478	GRMZM2G017845	58
479	AC217499.3_FG001	4
480	GRMZM2G041527	126
481	GRMZM2G140582	5
482	GRMZM2G092429	16
483	GRMZM2G171934	9
484	GRMZM2G058456	7
485	GRMZM2G373341	1
486	GRMZM2G026939	20
487	AF546188.1_FG006	12
488	GRMZM2G079956	4
489	GRMZM2G043776	149
490	GRMZM2G406268	1
491	GRMZM2G040467	1
492	GRMZM2G174136	1
493	GRMZM2G142768	20
494	GRMZM2G022897	189
495	GRMZM2G002903	9
496	GRMZM2G174236	31
497	GRMZM2G468479	1
498	GRMZM2G115065	14
499	GRMZM2G104836	1
500	GRMZM5G832166	2
501	GRMZM2G011615	8
502	GRMZM2G157621	1
503	GRMZM2G048434	3
504	GRMZM2G465333	147
505	GRMZM2G035997	28
506	GRMZM5G828312	8
507	GRMZM2G144008	4
508	GRMZM2G308203	4
509	GRMZM2G020775	5
510	GRMZM2G050890	8
511	GRMZM2G142735	1
512	GRMZM2G162749	25
513	GRMZM2G020187	15
514	GRMZM2G008714	9
515	GRMZM2G111238	10
516	GRMZM2G152552	68
517	AC205982.3_FG014	6
518	GRMZM2G110258	13
519	GRMZM2G011777	19
520	GRMZM2G106730	12
521	GRMZM2G117198	93
522	GRMZM2G127948	14
523	GRMZM2G021794	1
524	GRMZM2G300788	79
525	GRMZM2G037698	104
526	GRMZM2G385945	2
527	GRMZM2G007651	164
528	GRMZM2G365374	13
529	GRMZM2G101926	18
530	GRMZM2G059037	1
531	GRMZM2G424053	1
532	GRMZM2G329655	1
533	GRMZM2G081949	25
534	GRMZM2G180728	214
535	GRMZM2G086636	37
536	GRMZM2G062210	8
537	GRMZM2G151734	19
538	GRMZM2G444692	1
539	GRMZM2G140116	34
540	GRMZM5G883764	7
541	GRMZM5G813627	3
542	GRMZM2G455828	2
543	GRMZM2G171628	33
544	GRMZM2G034804	5
545	GRMZM2G010362	2
546	GRMZM2G096591	6
547	GRMZM2G083410	43
548	GRMZM2G462623	173
549	GRMZM2G121495	3
550	GRMZM2G004057	37
551	GRMZM2G073750	4
552	GRMZM2G085970	93
